airport_code,utc_timestamp,temperature,wind_speed,visibility,precipitation,snowfall,weather_condition
JFK,2024-01-01 00:00:00,40.0,10.2,10.0,0.0,0.0,Overcast
LAX,2024-01-01 00:00:00,33.6,4.2,10.0,0.0,0.0,Overcast
ATL,2024-01-01 00:00:00,37.8,3.2,10.0,0.0,0.0,Partly Cloudy
ORD,2024-01-01 00:00:00,45.1,14.3,10.0,0.0,0.0,Partly Cloudy
DFW,2024-01-01 00:00:00,30.4,9.3,10.0,0.0,0.0,Clear
SEA,2024-01-01 00:00:00,30.3,10.3,10.0,0.0,0.0,Partly Cloudy
SFO,2024-01-01 00:00:00,32.5,7.6,10.0,0.0,0.0,Clear
MIA,2024-01-01 00:00:00,33.4,35.2,0.9,0.19,3.82,Fog
BOS,2024-01-01 00:00:00,14.7,25.8,1.1,1.06,2.63,Fog
DEN,2024-01-01 00:00:00,46.2,42.7,1.1,1.03,0.0,Heavy Rain
JFK,2024-01-01 03:00:00,21.2,3.4,10.0,0.0,0.0,Partly Cloudy
LAX,2024-01-01 03:00:00,31.5,14.3,10.0,0.0,0.0,Partly Cloudy
ATL,2024-01-01 03:00:00,36.7,9.8,10.0,0.0,0.0,Clear
ORD,2024-01-01 03:00:00,38.2,13.1,10.0,0.0,0.0,Clear
DFW,2024-01-01 03:00:00,42.7,6.4,10.0,0.0,0.0,Clear
SEA,2024-01-01 03:00:00,29.6,12.6,10.0,0.0,0.0,Clear
SFO,2024-01-01 03:00:00,34.6,6.5,10.0,0.0,0.0,Overcast
MIA,2024-01-01 03:00:00,32.2,11.5,10.0,0.0,0.0,Overcast
BOS,2024-01-01 03:00:00,39.8,10.8,10.0,0.0,0.0,Overcast
DEN,2024-01-01 03:00:00,48.0,8.4,10.0,0.0,0.0,Clear
JFK,2024-01-01 06:00:00,33.2,11.8,10.0,0.0,0.0,Partly Cloudy
LAX,2024-01-01 06:00:00,30.9,8.7,10.0,0.0,0.0,Clear
ATL,2024-01-01 06:00:00,25.7,3.5,10.0,0.0,0.0,Overcast
ORD,2024-01-01 06:00:00,42.8,3.3,10.0,0.0,0.0,Clear
DFW,2024-01-01 06:00:00,36.5,9.8,10.0,0.0,0.0,Partly Cloudy
SEA,2024-01-01 06:00:00,33.9,10.3,10.0,0.0,0.0,Overcast
SFO,2024-01-01 06:00:00,27.1,27.2,0.9,1.4,3.33,Thunderstorm
MIA,2024-01-01 06:00:00,42.4,8.5,10.0,0.0,0.0,Partly Cloudy
BOS,2024-01-01 06:00:00,31.6,7.3,10.0,0.0,0.0,Partly Cloudy
DEN,2024-01-01 06:00:00,42.5,5.7,10.0,0.0,0.0,Partly Cloudy
JFK,2024-01-01 09:00:00,26.3,8.8,10.0,0.0,0.0,Clear
LAX,2024-01-01 09:00:00,29.9,7.1,10.0,0.0,0.0,Overcast
ATL,2024-01-01 09:00:00,30.2,7.8,10.0,0.0,0.0,Partly Cloudy
ORD,2024-01-01 09:00:00,29.3,14.5,10.0,0.0,0.0,Partly Cloudy
DFW,2024-01-01 09:00:00,45.9,15.0,10.0,0.0,0.0,Overcast
SEA,2024-01-01 09:00:00,45.0,9.0,10.0,0.0,0.0,Partly Cloudy
SFO,2024-01-01 09:00:00,34.2,11.2,10.0,0.0,0.0,Clear
MIA,2024-01-01 09:00:00,32.6,14.8,10.0,0.0,0.0,Overcast
BOS,2024-01-01 09:00:00,46.4,11.7,10.0,0.0,0.0,Clear
DEN,2024-01-01 09:00:00,42.5,10.6,10.0,0.0,0.0,Overcast
JFK,2024-01-01 12:00:00,40.1,9.1,10.0,0.0,0.0,Clear
LAX,2024-01-01 12:00:00,40.4,6.9,10.0,0.0,0.0,Overcast
ATL,2024-01-01 12:00:00,43.9,4.2,10.0,0.0,0.0,Clear
ORD,2024-01-01 12:00:00,41.1,7.6,10.0,0.0,0.0,Partly Cloudy
DFW,2024-01-01 12:00:00,39.8,5.5,10.0,0.0,0.0,Overcast
SEA,2024-01-01 12:00:00,44.3,6.1,10.0,0.0,0.0,Partly Cloudy
SFO,2024-01-01 12:00:00,35.1,15.0,10.0,0.0,0.0,Partly Cloudy
MIA,2024-01-01 12:00:00,38.8,13.8,10.0,0.0,0.0,Overcast
BOS,2024-01-01 12:00:00,29.0,13.2,10.0,0.0,0.0,Partly Cloudy
DEN,2024-01-01 12:00:00,26.5,10.7,10.0,0.0,0.0,Overcast
JFK,2024-01-01 15:00:00,43.5,14.3,10.0,0.0,0.0,Clear
LAX,2024-01-01 15:00:00,52.9,24.0,1.9,1.07,0.0,Fog
ATL,2024-01-01 15:00:00,35.0,7.4,10.0,0.0,0.0,Overcast
ORD,2024-01-01 15:00:00,31.2,6.7,10.0,0.0,0.0,Overcast
DFW,2024-01-01 15:00:00,21.3,14.7,10.0,0.0,0.0,Clear
SEA,2024-01-01 15:00:00,27.3,13.9,10.0,0.0,0.0,Overcast
SFO,2024-01-01 15:00:00,35.1,8.9,10.0,0.0,0.0,Clear
MIA,2024-01-01 15:00:00,49.5,9.0,10.0,0.0,0.0,Overcast
BOS,2024-01-01 15:00:00,34.9,13.6,10.0,0.0,0.0,Clear
DEN,2024-01-01 15:00:00,36.9,7.0,10.0,0.0,0.0,Partly Cloudy
JFK,2024-01-01 18:00:00,30.5,13.2,10.0,0.0,0.0,Overcast
LAX,2024-01-01 18:00:00,42.8,9.7,10.0,0.0,0.0,Overcast
ATL,2024-01-01 18:00:00,23.5,6.5,10.0,0.0,0.0,Partly Cloudy
ORD,2024-01-01 18:00:00,48.9,11.4,10.0,0.0,0.0,Overcast
DFW,2024-01-01 18:00:00,39.5,8.0,10.0,0.0,0.0,Partly Cloudy
SEA,2024-01-01 18:00:00,52.8,14.0,10.0,0.0,0.0,Partly Cloudy
SFO,2024-01-01 18:00:00,29.4,3.3,10.0,0.0,0.0,Partly Cloudy
MIA,2024-01-01 18:00:00,33.7,9.9,10.0,0.0,0.0,Partly Cloudy
BOS,2024-01-01 18:00:00,25.9,13.1,10.0,0.0,0.0,Partly Cloudy
DEN,2024-01-01 18:00:00,30.4,20.9,2.6,0.6,0.94,Thunderstorm
JFK,2024-01-01 21:00:00,29.6,8.5,10.0,0.0,0.0,Partly Cloudy
LAX,2024-01-01 21:00:00,42.8,33.3,1.9,0.99,0.0,Fog
ATL,2024-01-01 21:00:00,21.9,6.0,10.0,0.0,0.0,Partly Cloudy
ORD,2024-01-01 21:00:00,15.1,13.0,10.0,0.0,0.0,Clear
DFW,2024-01-01 21:00:00,31.3,8.3,10.0,0.0,0.0,Partly Cloudy
SEA,2024-01-01 21:00:00,36.6,5.2,10.0,0.0,0.0,Clear
SFO,2024-01-01 21:00:00,38.8,8.0,10.0,0.0,0.0,Partly Cloudy
MIA,2024-01-01 21:00:00,51.5,12.1,10.0,0.0,0.0,Clear
BOS,2024-01-01 21:00:00,28.2,6.7,10.0,0.0,0.0,Partly Cloudy
DEN,2024-01-01 21:00:00,32.4,8.7,10.0,0.0,0.0,Partly Cloudy
JFK,2024-01-02 00:00:00,42.0,8.6,10.0,0.0,0.0,Clear
LAX,2024-01-02 00:00:00,41.0,10.4,10.0,0.0,0.0,Clear
ATL,2024-01-02 00:00:00,31.8,43.3,1.8,0.86,2.89,Fog
ORD,2024-01-02 00:00:00,40.2,36.1,0.6,0.92,0.0,Snowstorm
DFW,2024-01-02 00:00:00,41.1,4.5,10.0,0.0,0.0,Clear
SEA,2024-01-02 00:00:00,45.3,14.3,10.0,0.0,0.0,Overcast
SFO,2024-01-02 00:00:00,40.0,6.3,10.0,0.0,0.0,Overcast
MIA,2024-01-02 00:00:00,45.6,3.5,10.0,0.0,0.0,Partly Cloudy
BOS,2024-01-02 00:00:00,30.1,13.1,10.0,0.0,0.0,Partly Cloudy
DEN,2024-01-02 00:00:00,37.1,6.1,10.0,0.0,0.0,Overcast
